"Step","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e2m3_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.080078125","5.080078125","5.080078125"
"20","4.3671875","4.3671875","4.3671875"
"30","4.25","4.25","4.25"
"40","4.142578125","4.142578125","4.142578125"
"50","4.052734375","4.052734375","4.052734375"
"60","3.9501953125","3.9501953125","3.9501953125"
"70","3.8623046875","3.8623046875","3.8623046875"
"80","3.8125","3.8125","3.8125"
"90","3.7548828125","3.7548828125","3.7548828125"
"100","3.7158203125","3.7158203125","3.7158203125"
"110","3.66015625","3.66015625","3.66015625"
"120","3.611328125","3.611328125","3.611328125"
"130","3.5703125","3.5703125","3.5703125"
"140","3.544921875","3.544921875","3.544921875"
"150","3.5087890625","3.5087890625","3.5087890625"
"160","3.466796875","3.466796875","3.466796875"
"170","3.43359375","3.43359375","3.43359375"
"180","3.4189453125","3.4189453125","3.4189453125"
"190","3.41015625","3.41015625","3.41015625"
"200","3.376953125","3.376953125","3.376953125"
"210","3.3408203125","3.3408203125","3.3408203125"
"220","3.326171875","3.326171875","3.326171875"
"230","3.3154296875","3.3154296875","3.3154296875"
"240","3.2890625","3.2890625","3.2890625"
"250","3.2470703125","3.2470703125","3.2470703125"
"260","3.2451171875","3.2451171875","3.2451171875"
"270","3.21875","3.21875","3.21875"
"280","3.1708984375","3.1708984375","3.1708984375"
"290","3.1728515625","3.1728515625","3.1728515625"
"300","3.1396484375","3.1396484375","3.1396484375"
"310","3.1328125","3.1328125","3.1328125"
"320","3.1328125","3.1328125","3.1328125"
"330","3.0927734375","3.0927734375","3.0927734375"
"340","3.099609375","3.099609375","3.099609375"
"350","3.08203125","3.08203125","3.08203125"
"360","3.052734375","3.052734375","3.052734375"
"370","3.03125","3.03125","3.03125"
"380","3.04296875","3.04296875","3.04296875"
"390","3.0419921875","3.0419921875","3.0419921875"
"400","3.0166015625","3.0166015625","3.0166015625"
"410","2.9873046875","2.9873046875","2.9873046875"
"420","2.9912109375","2.9912109375","2.9912109375"
"430","2.9716796875","2.9716796875","2.9716796875"
"440","2.9501953125","2.9501953125","2.9501953125"
"450","2.927734375","2.927734375","2.927734375"
"460","2.9541015625","2.9541015625","2.9541015625"
"470","2.939453125","2.939453125","2.939453125"
"480","2.92578125","2.92578125","2.92578125"
"490","2.9189453125","2.9189453125","2.9189453125"
"500","2.908203125","2.908203125","2.908203125"
"510","2.9033203125","2.9033203125","2.9033203125"
"520","2.873046875","2.873046875","2.873046875"
"530","2.8828125","2.8828125","2.8828125"
"540","2.8759765625","2.8759765625","2.8759765625"
"550","2.8486328125","2.8486328125","2.8486328125"
"560","2.845703125","2.845703125","2.845703125"
"570","2.87109375","2.87109375","2.87109375"
"580","2.8330078125","2.8330078125","2.8330078125"
"590","2.841796875","2.841796875","2.841796875"
"600","2.8095703125","2.8095703125","2.8095703125"
"610","2.830078125","2.830078125","2.830078125"
"620","2.8095703125","2.8095703125","2.8095703125"
"630","2.79296875","2.79296875","2.79296875"
"640","2.794921875","2.794921875","2.794921875"
"650","2.763671875","2.763671875","2.763671875"
"660","2.7705078125","2.7705078125","2.7705078125"
"670","2.7763671875","2.7763671875","2.7763671875"
"680","2.775390625","2.775390625","2.775390625"
"690","2.75","2.75","2.75"
"700","2.736328125","2.736328125","2.736328125"
"710","2.734375","2.734375","2.734375"
"720","2.7158203125","2.7158203125","2.7158203125"
"730","2.732421875","2.732421875","2.732421875"
"740","2.7275390625","2.7275390625","2.7275390625"
"750","2.7177734375","2.7177734375","2.7177734375"
"760","2.72265625","2.72265625","2.72265625"
"770","2.6943359375","2.6943359375","2.6943359375"
"780","2.697265625","2.697265625","2.697265625"
"790","2.69140625","2.69140625","2.69140625"
"800","2.6953125","2.6953125","2.6953125"
"810","2.681640625","2.681640625","2.681640625"
"820","2.6806640625","2.6806640625","2.6806640625"
"830","2.650390625","2.650390625","2.650390625"
"840","2.662109375","2.662109375","2.662109375"
"850","2.6494140625","2.6494140625","2.6494140625"
"860","2.6669921875","2.6669921875","2.6669921875"
"870","2.6474609375","2.6474609375","2.6474609375"
"880","2.6572265625","2.6572265625","2.6572265625"
"890","2.6474609375","2.6474609375","2.6474609375"
"900","2.6357421875","2.6357421875","2.6357421875"
"910","2.6328125","2.6328125","2.6328125"
"920","2.6357421875","2.6357421875","2.6357421875"
"930","2.6181640625","2.6181640625","2.6181640625"
"940","2.6123046875","2.6123046875","2.6123046875"
"950","2.6044921875","2.6044921875","2.6044921875"
"960","2.6328125","2.6328125","2.6328125"
"970","2.587890625","2.587890625","2.587890625"
"980","2.595703125","2.595703125","2.595703125"
"990","2.5908203125","2.5908203125","2.5908203125"
"1000","2.5888671875","2.5888671875","2.5888671875"
"1010","2.587890625","2.587890625","2.587890625"
