"Step","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MIN","fp6_e3m2_fp6_e3m2 - train/CrossEntropyLoss__MAX"
"10","5.470703125","5.470703125","5.470703125"
"20","4.69140625","4.69140625","4.69140625"
"30","4.48046875","4.48046875","4.48046875"
"40","4.396484375","4.396484375","4.396484375"
"50","4.33203125","4.33203125","4.33203125"
"60","4.259765625","4.259765625","4.259765625"
"70","4.17578125","4.17578125","4.17578125"
"80","4.109375","4.109375","4.109375"
"90","4.0341796875","4.0341796875","4.0341796875"
"100","3.9912109375","3.9912109375","3.9912109375"
"110","3.921875","3.921875","3.921875"
"120","3.873046875","3.873046875","3.873046875"
"130","3.81640625","3.81640625","3.81640625"
"140","3.7783203125","3.7783203125","3.7783203125"
"150","3.7373046875","3.7373046875","3.7373046875"
"160","3.681640625","3.681640625","3.681640625"
"170","3.63671875","3.63671875","3.63671875"
"180","3.61328125","3.61328125","3.61328125"
"190","3.591796875","3.591796875","3.591796875"
"200","3.5576171875","3.5576171875","3.5576171875"
"210","3.521484375","3.521484375","3.521484375"
"220","3.509765625","3.509765625","3.509765625"
"230","3.501953125","3.501953125","3.501953125"
"240","3.4755859375","3.4755859375","3.4755859375"
"250","3.4345703125","3.4345703125","3.4345703125"
"260","3.43359375","3.43359375","3.43359375"
"270","3.4091796875","3.4091796875","3.4091796875"
"280","3.3671875","3.3671875","3.3671875"
"290","3.3701171875","3.3701171875","3.3701171875"
"300","3.33984375","3.33984375","3.33984375"
"310","3.3310546875","3.3310546875","3.3310546875"
"320","3.330078125","3.330078125","3.330078125"
"330","3.2880859375","3.2880859375","3.2880859375"
"340","3.29296875","3.29296875","3.29296875"
"350","3.2724609375","3.2724609375","3.2724609375"
"360","3.2490234375","3.2490234375","3.2490234375"
"370","3.2255859375","3.2255859375","3.2255859375"
"380","3.23046875","3.23046875","3.23046875"
"390","3.2255859375","3.2255859375","3.2255859375"
"400","3.205078125","3.205078125","3.205078125"
"410","3.1708984375","3.1708984375","3.1708984375"
"420","3.1640625","3.1640625","3.1640625"
"430","3.146484375","3.146484375","3.146484375"
"440","3.126953125","3.126953125","3.126953125"
"450","3.103515625","3.103515625","3.103515625"
"460","3.1181640625","3.1181640625","3.1181640625"
"470","3.109375","3.109375","3.109375"
"480","3.095703125","3.095703125","3.095703125"
"490","3.0859375","3.0859375","3.0859375"
"500","3.076171875","3.076171875","3.076171875"
"510","3.0654296875","3.0654296875","3.0654296875"
"520","3.0390625","3.0390625","3.0390625"
"530","3.0478515625","3.0478515625","3.0478515625"
"540","3.0400390625","3.0400390625","3.0400390625"
"550","3.0146484375","3.0146484375","3.0146484375"
"560","3.0107421875","3.0107421875","3.0107421875"
"570","3.03515625","3.03515625","3.03515625"
"580","2.9970703125","2.9970703125","2.9970703125"
"590","3.0048828125","3.0048828125","3.0048828125"
"600","2.9736328125","2.9736328125","2.9736328125"
"610","2.9951171875","2.9951171875","2.9951171875"
"620","2.9697265625","2.9697265625","2.9697265625"
"630","2.951171875","2.951171875","2.951171875"
"640","2.95703125","2.95703125","2.95703125"
